date,INDPRO,RECESSION
09/01/1975,41.5422,0
10/01/1975,41.7224,0
11/01/1975,41.7797,0
12/01/1975,42.3462,0
01/01/1976,42.9082,0
02/01/1976,43.3407,0
03/01/1976,43.4281,0
04/01/1976,43.6518,0
05/01/1976,43.8315,0
06/01/1976,43.8775,0
07/01/1976,44.1248,0
08/01/1976,44.4262,0
09/01/1976,44.5711,0
10/01/1976,44.56,0
11/01/1976,45.2454,0
12/01/1976,45.731,0
01/01/1977,45.4156,0
02/01/1977,46.1358,0
03/01/1977,46.7158,0
04/01/1977,47.1719,0
05/01/1977,47.541,0
06/01/1977,47.9063,0
07/01/1977,47.9714,0
08/01/1977,48.0157,0
09/01/1977,48.2097,0
10/01/1977,48.2839,0
11/01/1977,48.3755,0
12/01/1977,48.4573,0
01/01/1978,47.7512,0
02/01/1978,48.0098,0
03/01/1978,48.9358,0
04/01/1978,49.9074,0
05/01/1978,50.1513,0
06/01/1978,50.4751,0
07/01/1978,50.4371,0
08/01/1978,50.6393,0
09/01/1978,50.7631,0
10/01/1978,51.1523,0
11/01/1978,51.5456,0
12/01/1978,51.806,0
01/01/1979,51.525,0
02/01/1979,51.778,0
03/01/1979,51.9382,0
04/01/1979,51.3251,0
05/01/1979,51.7782,0
06/01/1979,51.7865,0
07/01/1979,51.7029,0
08/01/1979,51.3658,0
09/01/1979,51.3623,0
10/01/1979,51.7175,0
11/01/1979,51.6341,0
12/01/1979,51.6694,0
01/01/1980,51.944,0
02/01/1980,51.9633,1
03/01/1980,51.7454,1
04/01/1980,50.7197,1
05/01/1980,49.4766,1
06/01/1980,48.8383,1
07/01/1980,48.4907,1
08/01/1980,48.6456,0
09/01/1980,49.4578,0
10/01/1980,50.0861,0
11/01/1980,50.9209,0
12/01/1980,51.257,0
01/01/1981,50.9328,0
02/01/1981,50.7237,0
03/01/1981,50.9806,0
04/01/1981,50.7661,0
05/01/1981,51.0552,0
06/01/1981,51.3214,0
07/01/1981,51.6555,0
08/01/1981,51.5903,1
09/01/1981,51.3429,1
10/01/1981,50.9463,1
11/01/1981,50.3546,1
12/01/1981,49.8086,1
01/01/1982,48.7877,1
02/01/1982,49.7839,1
03/01/1982,49.4477,1
04/01/1982,48.9913,1
05/01/1982,48.6669,1
06/01/1982,48.5415,1
07/01/1982,48.3775,1
08/01/1982,47.9382,1
09/01/1982,47.8139,1
10/01/1982,47.3575,1
11/01/1982,47.2078,1
12/01/1982,46.8713,0
01/01/1983,47.7398,0
02/01/1983,47.4484,0
03/01/1983,47.8426,0
04/01/1983,48.4483,0
05/01/1983,48.747,0
06/01/1983,49.0434,0
07/01/1983,49.7739,0
08/01/1983,50.364,0
09/01/1983,51.0937,0
10/01/1983,51.4902,0
11/01/1983,51.721,0
12/01/1983,51.9769,0
